frame,person,cat
0,7,0
1,8,0
2,8,0
3,9,0
4,10,0
5,11,0
6,10,0
7,8,0
8,8,0
9,9,0
10,10,0
11,9,0
12,10,0
13,10,0
14,10,0
15,11,0
16,12,0
17,9,0
18,11,0
19,14,0
20,13,0
21,7,0
22,3,0
23,9,0
24,12,0
25,11,0
26,11,0
27,8,0
28,7,0
29,7,0
30,8,1
31,6,0
32,6,0
33,8,1
34,8,1
35,8,1
36,5,1
37,5,1
38,5,1
39,8,1
40,8,1
41,7,1
42,8,1
43,7,0
44,8,0
45,8,0
46,7,0
47,8,1
48,9,0
49,12,0
50,12,0
51,10,0
52,8,0
53,11,0
54,10,0
55,10,0
56,10,0
57,11,0
58,11,0
59,11,0
60,10,0
61,11,0
62,11,0
63,11,0
64,11,0
65,12,0
66,10,0
67,12,0
68,12,0
69,11,0
70,13,0
71,11,0
72,11,0
73,10,0
74,10,0
75,10,0
76,12,0
77,12,0
78,12,0
79,12,0
80,12,0
81,13,0
82,12,0
83,12,0
84,11,0
85,11,0
86,11,0
87,12,0
88,13,0
89,18,0
90,15,0
91,14,0
92,14,0
93,13,0
94,13,0
95,13,0
96,13,0
97,13,0
98,13,0
99,13,0
100,14,0
101,13,0
102,13,0
103,14,0
104,14,0
105,14,0
106,14,0
107,11,0
108,12,0
109,12,0
110,12,0
111,12,0
112,10,0
113,11,1
114,13,0
115,12,0
116,12,0
117,10,0
118,10,1
119,10,0
120,9,0
121,9,0
122,9,0
123,11,0
124,13,0
125,12,0
126,13,0
127,13,0
128,13,0
129,12,0
130,12,0
131,11,1
132,11,0
133,10,0
134,10,0
135,10,0
136,12,0
137,11,0
138,11,0
139,12,0
140,11,0
141,11,0
142,12,0
143,12,0
144,11,0
145,11,0
146,11,0
147,11,0
148,10,0
149,11,0
150,12,0
151,11,0
152,13,0
153,13,0
154,13,0
155,13,0
156,14,0
157,14,0
158,14,0
159,14,0
160,12,0
161,13,0
162,12,0
163,13,0
164,13,0
165,13,0
166,14,0
167,11,0
168,13,0
169,14,0
170,14,0
171,14,0
172,13,0
173,2,0
174,2,0
175,2,0
176,2,0
177,2,0
178,2,0
179,2,0
180,2,0
