frame,person,cat
0,4,1
1,6,1
2,6,1
3,6,1
4,6,2
5,4,3
6,4,2
7,4,2
8,4,2
9,7,2
10,6,2
11,7,2
12,6,1
13,6,2
14,6,2
15,7,2
16,7,2
17,7,2
18,7,2
19,6,2
20,6,2
21,6,2
22,6,2
23,6,2
24,6,2
25,6,2
26,4,2
27,4,1
28,6,2
29,6,1
30,5,3
31,5,3
32,5,3
33,5,3
34,5,3
35,5,3
36,5,3
37,6,3
38,6,3
39,5,3
40,6,3
41,6,3
42,6,2
43,6,3
44,6,3
45,6,3
46,6,3
47,6,3
48,6,3
49,6,3
50,6,3
51,6,3
52,6,2
53,6,2
54,8,1
55,8,4
56,8,1
57,8,1
58,8,2
59,9,2
60,9,2
61,8,2
62,8,2
63,8,1
64,9,2
65,10,1
66,10,1
67,10,3
68,10,3
69,10,3
70,9,3
71,9,3
72,9,3
73,9,3
74,9,3
75,11,2
76,10,3
77,10,2
78,9,2
79,9,2
80,9,2
81,9,2
82,10,2
83,10,1
84,10,1
85,10,1
86,10,1
87,10,1
88,10,1
89,10,1
90,10,2
91,9,2
92,9,2
93,9,1
94,10,2
95,10,2
96,10,2
97,11,2
98,11,2
99,11,2
100,11,2
101,11,2
102,11,2
103,9,2
104,9,2
105,10,2
106,10,2
107,10,2
108,10,2
109,10,2
110,10,2
111,10,2
112,9,2
113,10,2
114,8,2
115,8,2
116,8,2
117,8,2
118,8,2
119,8,2
120,8,2
121,8,2
122,8,2
123,8,2
124,8,2
125,9,2
126,9,2
127,9,2
128,9,2
129,9,2
130,9,2
131,9,2
132,9,2
133,9,2
134,9,2
135,9,2
136,9,2
137,9,2
138,9,2
139,10,2
140,10,2
141,10,2
142,10,2
143,10,2
144,10,2
145,10,2
146,10,2
147,10,2
148,10,2
149,10,2
150,9,2
151,9,2
152,9,2
153,9,2
154,9,3
155,9,3
156,9,2
157,9,2
158,8,2
159,8,2
160,8,2
161,8,2
162,8,2
163,8,2
164,8,2
165,8,2
166,9,1
167,8,1
168,8,1
169,8,1
170,8,1
171,8,1
172,7,1
173,2,0
174,2,0
175,2,0
176,2,0
177,2,0
178,2,1
179,2,1
180,2,0
0,4,1
1,6,1
2,6,1
3,6,1
4,6,2
5,4,3
6,4,2
7,4,2
8,4,2
9,7,2
10,6,2
11,7,2
12,6,1
13,6,2
14,6,2
15,7,2
16,7,2
17,7,2
18,7,2
19,6,2
20,6,2
21,6,2
22,6,2
23,6,2
24,6,2
25,6,2
26,4,2
27,4,1
28,6,2
29,6,1
30,5,3
31,5,3
32,5,3
33,5,3
34,5,3
35,5,3
36,5,3
37,6,3
38,6,3
39,5,3
40,6,3
41,6,3
42,6,2
43,6,3
44,6,3
45,6,3
46,6,3
47,6,3
48,6,3
49,6,3
50,6,3
51,6,3
52,6,2
53,6,2
54,8,1
55,8,4
56,8,1
57,8,1
58,8,2
59,9,2
60,9,2
61,8,2
62,8,2
63,8,1
64,9,2
65,10,1
66,10,1
67,10,3
68,10,3
69,10,3
70,9,3
71,9,3
72,9,3
73,9,3
74,9,3
75,11,2
76,10,3
77,10,2
78,9,2
79,9,2
80,9,2
81,9,2
82,10,2
83,10,1
84,10,1
85,10,1
86,10,1
87,10,1
88,10,1
89,10,1
90,10,2
91,9,2
92,9,2
93,9,1
94,10,2
95,10,2
96,10,2
97,11,2
98,11,2
99,11,2
100,11,2
101,11,2
102,11,2
103,9,2
104,9,2
105,10,2
106,10,2
107,10,2
108,10,2
109,10,2
110,10,2
111,10,2
112,9,2
113,10,2
114,8,2
115,8,2
116,8,2
117,8,2
118,8,2
119,8,2
120,8,2
121,8,2
122,8,2
123,8,2
124,8,2
125,9,2
126,9,2
127,9,2
128,9,2
129,9,2
130,9,2
131,9,2
132,9,2
133,9,2
134,9,2
135,9,2
136,9,2
137,9,2
138,9,2
139,10,2
140,10,2
141,10,2
142,10,2
143,10,2
144,10,2
145,10,2
146,10,2
147,10,2
148,10,2
149,10,2
150,9,2
151,9,2
152,9,2
153,9,2
154,9,3
155,9,3
156,9,2
157,9,2
158,8,2
159,8,2
160,8,2
161,8,2
162,8,2
163,8,2
164,8,2
165,8,2
166,9,1
167,8,1
168,8,1
169,8,1
170,8,1
171,8,1
172,7,1
173,2,0
174,2,0
175,2,0
176,2,0
177,2,0
178,2,1
179,2,1
180,2,0
