frame,person,cat
0,8,1
1,8,1
2,8,1
3,9,1
4,9,2
5,8,3
6,8,2
7,8,2
8,8,2
9,9,2
10,9,2
11,9,2
12,10,1
13,10,2
14,10,2
15,11,2
16,9,2
17,9,2
18,9,2
19,9,2
20,9,2
21,7,2
22,8,2
23,9,2
24,7,2
25,7,2
26,8,2
27,8,1
28,7,2
29,7,1
30,7,3
31,6,3
32,6,3
33,6,3
34,7,3
35,6,3
36,5,3
37,6,3
38,6,3
39,6,3
40,6,3
41,6,3
42,6,2
43,6,3
44,6,3
45,7,3
46,8,3
47,7,3
48,9,3
49,10,3
50,9,3
51,8,3
52,9,2
53,9,2
54,10,1
55,10,4
56,10,1
57,10,1
58,10,2
59,10,2
60,11,2
61,11,2
62,11,2
63,11,1
64,11,2
65,11,1
66,10,1
67,11,3
68,11,3
69,11,3
70,11,3
71,11,3
72,12,3
73,10,3
74,10,3
75,13,2
76,11,3
77,10,2
78,12,2
79,12,2
80,12,2
81,11,2
82,10,2
83,10,1
84,10,1
85,10,1
86,10,1
87,10,1
88,10,1
89,12,1
90,13,2
91,13,2
92,13,2
93,13,1
94,13,2
95,13,2
96,13,2
97,13,2
98,13,2
99,14,2
100,14,3
101,13,2
102,13,2
103,12,2
104,12,2
105,13,3
106,13,3
107,13,2
108,12,2
109,13,2
110,13,2
111,12,3
112,11,3
113,13,3
114,12,3
115,11,3
116,11,3
117,10,2
118,11,2
119,11,2
120,10,2
121,11,2
122,11,2
123,11,2
124,12,2
125,12,2
126,13,2
127,12,2
128,12,2
129,12,2
130,13,2
131,12,2
132,11,2
133,11,2
134,11,2
135,11,2
136,13,2
137,13,2
138,13,2
139,13,2
140,13,2
141,13,2
142,12,2
143,12,2
144,12,2
145,11,2
146,11,2
147,11,2
148,11,2
149,12,2
150,13,2
151,13,2
152,12,2
153,12,2
154,12,3
155,11,3
156,12,2
157,12,2
158,10,2
159,10,2
160,11,2
161,11,2
162,11,2
163,12,2
164,13,2
165,13,2
166,14,1
167,13,1
168,12,1
169,13,1
170,12,1
171,12,1
172,11,1
173,2,0
174,2,0
175,2,0
176,2,0
177,2,0
178,2,0
179,2,0
180,2,0
0,8,1
1,8,1
2,8,1
3,9,1
4,9,2
5,8,3
6,8,2
7,8,2
8,8,2
9,9,2
